university,course,ucas_code,degree_level,study_mode,duration,alevel_grades,alevel_details,ib_points_raw,ib_points_numeric,ib_details,course_url,provider_url,description,qualification,required_subjects,subject_req_status
University of Oxford,Beginners' Portuguese And Modern Greek,RR59,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Beginners' Portuguese And Russian,RRNT,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,A in Modern Language(s) (if taken to A-level) Excluding General Studies (if taken),38 points,38.0,with 6 6 6 at HL Including HL Modern Language(s) (if taken),https://ox.ac.uk/ugml,http://www.ox.ac.uk/study,"Studying Modern Languages provides both practical training in written and spoken language and an extensive introduction to literature and thought written in European languages. As well as learning to write and speak the language(s) fluently, you can study a broad range of literature, or focus your studies on any period from the medieval to the present day. A wide range of other options allow you to explore subjects including linguistics, philology, film or gender studies. For more information on this course please visit ox.ac.uk/ugml.",Bachelor of Arts (with Honours) - BA (Hons),Modern Language,specified
University of Oxford,Chinese,T101,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,Excluding General Studies (if taken),39 points,39.0,with 6 6 6 at HL,https://ox.ac.uk/ugos,http://www.ox.ac.uk/study,"Asian and Middle Eastern Studies is unique in its sole focus on introducing students to civilisations that are different from the Western ones upon which the curriculum in most British schools and colleges is based. The courses present both the major traditions and cultural trends of the regions studied and, in most cases, their modern developments. All courses include a combination of linguistic, literary, historic and cultural studies and there is a wide range of options in fields such as art and archaeology, history, literature, philosophy, religion and modern social studies. For more information on this course please visit ox.ac.uk/ugos.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Classical Archaeology And Ancient History,VV14,Degree level: Undergraduate,Full-time,3 years,AAA,Excluding General Studies (if taken),39 points,39.0,with 6 6 6 at HL,https://ox.ac.uk/ugcaah,http://www.ox.ac.uk/study,"The course combines study of the history, archaeology and art of the classical world. It looks at the societies and cultures of the ancient Mediterranean, through written texts, visual art and material remains, and has at its centre the two classical cultures of Greece and Rome. It is aimed at anyone interested in investigating ancient civilisations and their remains: from Greek temples and Roman amphitheatres to wall paintings and the poignant residues of everyday life. While it is primarily a historical and non-linguistic degree, ancient languages can be used and learned as part of the course. For more information on this course please visit ox.ac.uk/ugcaah.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Classical Archaeology And Ancient History With Foundation Year,VV1F,Degree level: Undergraduate,Full-time including foundation year,4 years,BBB,Excluding General Studies (if taken),35 points,35.0,With 555 at HL.,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/,http://www.ox.ac.uk/study,"Are you a student from the UK interested in studying Classical Archaeology and Ancient History but your personal or educational circumstances have meant you are unlikely to achieve the grades typically required for Oxford courses? If so, then Classical Archaeology and Ancient History with Foundation Year might be the course for you.

The Foundation Year is completely free for UK students and is designed to be a one-year intensive academic course which will bridge any gap between school and our academically challenging undergraduate courses. The programme is carefully designed to build and develop your study skills, subject knowledge and capacity for independent study. Students that pass the course will be awarded a nationally recognised Certificate in Higher Education (CertHE) qualification. If you pass the course at the required level, you will be automatically admitted into Oxford as an undergraduate student if you wish to be, without the need to re-apply. For more information on this course please visit www.ox.ac.uk/fyhumanities 

The Classical Archaeology and Ancient History undergraduate course combines study of the history, archaeology and art of the classical world. It looks at the societies and cultures of the ancient Mediterranean, through written texts, visual art and material remains, and has at its centre the two classical cultures of Greece and Rome. It is aimed at anyone interested in investigating ancient civilisations and their remains: from Greek temples and Roman amphitheatres to wall paintings and the poignant residues of everyday life. While it is primarily a historical and non-linguistic degree, ancient languages can be used and learned as part of the course. For more information on this course please visit ox.ac.uk/ugcaah.

This course is for UK state school students who meet the eligibility criteria. For more information about the eligibility criteria please visit foundationyear.ox.ac.uk/eligibility.

International students are not eligible to apply.",Bachelor of Arts (with Honours) - BA (Hons),,unknown
University of Oxford,Classics,Q800,Degree level: Undergraduate,Full-time,4 years,AAA,With As in Latin and Greek. Excluding General Studies (if taken).,39 points,39.0,with 6 6 6 at HL and an aggregate of 12 in Latin and Greek.,https://ox.ac.uk/ugclassics,http://www.ox.ac.uk/study,"Classics (Literae Humaniores) is a wide-ranging degree devoted to the study of the literature, history, philosophy, languages and archaeology of the ancient Greek and Roman worlds. It is one of the most interdisciplinary of all degrees, and offers the opportunity to study these two foundational ancient civilisations and their reception in modern times. The degree also permits students to take extensive options in modern philosophy, a flexibility which makes Oxford’s Literae Humaniores different from most other Classics courses. For more information on this course please visit ox.ac.uk/ugclassics.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Czech (With Slovak) Option B,QBR7,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Czech (With Slovak) Option A,Q8R7,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' German Option A,QR28,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' German Option B,QR2B,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Italian Option A,QR38,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Italian Option B,QR3B,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Modern Greek Option A,QR8Y,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Modern Greek Option B,QRBY,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Portuguese Option A,QR8N,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Beginners' Portuguese Option B,QRBN,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Czech (With Slovak) Option A,QR87,Degree level: Undergraduate,Full-time with time abroad,4 years,AAA,"Including the Modern Language, with As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including the Modern Language, and Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin; Modern Language,specified
University of Oxford,Classics And Czech (With Slovak) Option A With Beginners' Latin Or Greek,QR8R,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And Czech (With Slovak) Option B,QRB7,Degree level: Undergraduate,Full-time with time abroad,5 years,AAA,"With As in Latin and Greek, if taken Excluding General Studies (if taken)",39 points,39.0,"with 6 6 6 at HL, including Latin and Greek, if taken",https://ox.ac.uk/ugcml,http://www.ox.ac.uk/study,"Classics and Modern Languages enables you to combine study of Latin and/or Ancient Greek with a modern language. The course involves extensive study of major literary texts, alongside training in linguistic skills. The Greeks and Romans were active in all the countries covered by the available languages. Not only does studying this course help to give students greater access to the ancient cultures, it is also a chance to examine how classical literature and culture have shaped their modern counterparts. Some options provide an opportunity to directly compare texts from both sides of the course, focusing on classical influence on modern European literature. For more information on this course please visit ox.ac.uk/ugcml.",Bachelor of Arts (with Honours) - BA (Hons),Greek; Latin,specified
University of Oxford,Classics And English,QQ38,Degree level: Undergraduate,Full-time,3 years,AAA,"Including English Literature, or English Language and Literature, with As in Latin and Greek, if taken. Excluding General Studies (if taken).",39 points,39.0,"with 6 6 6 at HL, including English Literature, or English Language and Literature, and with an aggregate of 12 in Latin and Greek, if taken.",https://ox.ac.uk/ugce,http://www.ox.ac.uk/study,"The Classics and English degree at Oxford gives students the opportunity to study the literature and culture of the ancient and modern world, both separately and in comparison; to trace ideas, forms, and genres across cultures and time; and to think about continuities and change in how people think, write, and imagine their world. All students study either Latin or Greek or both, so that they can encounter ancient literature in the original language(s). Course I is a three-year course for candidates with an A-level or equivalent in either Latin or Greek; Course II is for those who have not had the opportunity to study either language at school or college and includes a preliminary year, in which students learn Latin or Greek alongside some study of classical literature, making it a four-year course. For more information on this course please visit ox.ac.uk/ugce.",Bachelor of Arts (with Honours) - BA (Hons),English; Greek; Latin,specified
