university,med_course,med_alevel_req,med_ib_req,med_gcse_req,med_admission_test,med_interview_type,med_teaching_style,med_work_experience,med_singapore_approved,med_url,med_location,med_intl_applicants,med_intl_offers,med_intl_offer_pct,med_singapore_recognised_at
Keele University,MBChB Medicine (A100),"A*AA to include (a) Biology or Chemistry, (b) one more from Biology, Chemistry, Economics, Further Maths, Maths, Physics, Psychology, Statistics, (c) any third reformed (post-2017) A-Level, but only one Maths subject (Maths, Further Maths or Statistics) may be included in the three A-Levels. Practical endorsements must be achieved for Biology, Chemistry and Physics A-Levels.","Minimum of 37 points (including ToK/EE) including 7 or 6 in Higher Level Biology or Chemistry plus one more from Biology, Chemistry, Economics, Maths (any), Physics or Psychology. Alternatively, 766 in three Higher Level subjects including Biology or Chemistry plus one more from Biology, Chemistry, Economics, Maths (any), Physics or Psychology. Any science (Biology/Chemistry/Physics) not taken at Higher Level must be offered at Standard Level grade 5 or GCSE grade 6 or equivalent (combined science accepted).","GCSE or Scottish National 5 minimum of five at grade 7/A or higher. English language (including spoken English), Maths and sciences (combined science or Biology, Chemistry and Physics) must be achieved at a minimum of grade 6/B. International GCSE (IGCSE) single-award combined science or any other single-award combined science qualification not accepted.","UCAT. Home applicants: minimum cut-off total score 1,700 and SJT band 3. Grade calculated for UCAT and combined with grade for personal statement to give a ranking score for selection for interview. International applicants: minimum cut-off total score 1,950 and SJT band 3. Applicants above this cut-off are ranked on total UCAT score to select for interview. For all applicants, the UCAT verbal reasoning (VR) score may be used as a tie-breaker.",Online multiple mini interview.,"Integrated approach combining small-group self-directed learning based on clinical cases/scenarios with a variety of lectures, laboratory activities, anatomy learning (including whole-body dissection), seminars, tutorials, skills workshops and clinical placements.","Clinical work experience is not required or expected. Personal statement grading is based on evidence of five specific criteria ; evidence of some of these criteria is likely to come from experience in roles that involve direct engagement with people, effective communication, handling responsibility and managing conflicting demands.",Not Approved,https://www.medschools.ac.uk/courses/keele-university-mbchb-medicine-a100/,Keele,422.0,23.0,5.45,No
Kent and Medway Medical School,BM BS Medicine (A100),"AAA/AAB including Biology or Chemistry, one other science, and a third in any subject which must be completed at the same time as the other two subjects. General studies and critical thinking are not accepted.","34/36 total including 6 in science higher level subjects, as per A level requirements.","5 subjects at grade 9-6. Must include English Language, Maths, Biology, Chemistry and Physics (or Double Science and one other subject.","UCAT. CASPeR is used for graduates and international applicants, and for Home school leaver applicants whose schools do not have publicly available data that enable contextualisation.",Online and in person Multiple Mini Interviews (MMI).,What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.,"Clinical experience is not required. Work experience is considered as part of the personal statement, but it is not specifically marked.",Not Approved,https://www.medschools.ac.uk/courses/kent-and-medway-medical-school-bm-bs-medicine-a100/,Canterbury,158.0,17.0,10.76,No
King's College London,MBBS Medicine (A100),"Please note that A-level General Studies, Critical Thinking, Thinking Skills and Global Perspectives are not accepted by King's as one of your A levels. Must include grade A in Biology and Chemistry.","38 points overall or an aggregate score of 19 from three Higher Levels. Must include grade 6 in Higher Level Biology and Chemistry. Notes: The total point score of 38 includes TOK/EE. GCSE/IGCSE English Language and Mathematics requirement can be met via IB Standard Level/Middle Years grade 5, if not studied/studying at Higher Level. All applicants must take the UCAT.","GCSE grade 6/B in both English Language and Mathematics is required. Notes: Functional Skills, and Numeracy/Literacy modules studied within an Access to HE diploma, are not accepted for this programme to meet the GCSE/IGCSE requirements. If you studied abroad and did not complete GCSEs/IGCSEs or IB Standard Level/Middle Years as part of your qualifications, then we would not expect you to have met this requirement. However, international equivalents can also be considered and we will look for evidence of the equivalency in your studies.",The UCAT contributes to a ranking system used to decide who is progressed to interview.,Online Multiple Mini Interview.,Our Medicine MBBS degree provides an innovative and integrated curriculum to support your training and development as a medical professional.,Not required.,Yes,https://www.medschools.ac.uk/courses/kings-college-london-mbbs-medicine-a100/,London,1087.0,79.0,7.27,Yes
Lancaster University,MBChB Medicine (A100),"AAA including two from Biology, Chemistry and Psychology or AAB in three A Levels (including core subjects) plus an EPQ, 4th AS-level or 4th A Level subject at grade B. General Studies, Critical Thinking and native languages are only considered as the 4th subject. Only one of Maths or Further Maths will be considered.","36 points overall after two years of study, to include: Standard Level: three subjects, all at a minimum of 5 points Higher Level: three subjects, all at a minimum of 6 points, including any two of Biology, Chemistry and Psychology.","Eight subjects achieved by the end of year 11. A minimum score of 13 points taken from highest scoring eight subjects (including core subjects as below), where an A*/A or 7-9 is equivalent to two points, and a B/6 is equivalent to one point. Must include the following core subjects at grade B/6: Maths, English Language, Biology, Chemistry and Physics (or Combined Science: Trilogy). Where Biology and Chemistry are not studied at A Level, the equivalent GCSE subject must be at least grade A/7",Applicants who meet our academic entry requirements will be ranked according to their UCAT score. Invitations to interview will be made based on this UCAT ranking alone. Contextual information will be considered in cases where an applicant's UCAT score is borderline for invitation to interview.,Not Found,"What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor.","Applicants should be prepared to discuss their work experience at interview. Insight is more important than the specific work and voluntary experience undertaken. Placements in hospices, nursing and residential homes etc., where there is interaction with vulnerable people, is just as valuable as shadowing doctors. After interview, we aim to verify work and voluntary experiences discussed in the applicant's personal statement.",Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-4/,Lancaster,243.0,8.0,3.29,No
Newcastle University,MB BS Medicine (A100),"AAA at A level excluding Use of Mathematics, World Development, Communication and Culture. For Biology, Chemistry and Physics A Levels, we require a pass in the practical element.",A minimum of 36 points including minimum of grade 5 in all subjects.,"No specific requirements but the best eight achieved grades at GCSE or equivalent level 2 qualifications are scored as part of the selection for interview. If less than eight GCSEs have been taken, scores from the taken GCSEs will be normalised.","UCAT. We award points based upon total UCAT score. Applicants' academic and UCAT points will be combined to give an overall  €˜academic screen' score, and applications will be ranked according to this score, for offer of interview. Candidates with a UCAT Situational Judgement Test Band of 4 (the lowest band) will not be considered. Standard and contextual offer students will be ranked as separate streams. International and A101 students will be ranked according to their UCAT score.",Multiple mini interviews and traditional panel interviews.,"Our MB BS programme uses a modern and innovative integrated case-led teaching approach, and you'll be taught in a vibrant learning environment. This course will prepare you to work as a doctor anywhere in the world, in both the clinical and academic arena.","Clinical experience is not required. Emphasis on applicants being able to show a commitment to caring which can be accomplished in a number of ways other than in a hospital or general practice setting, such as volunteering in an elderly care home, hospice, nursery or helping someone less fortunate. The medical school is also interested in individuals who have shown commitment to working as part of a team over a prolonged period of time in any area, including voluntary, sports, other extra-curricular activities.",Yes,https://www.medschools.ac.uk/courses/mb-bs-medicine-a100/,Newcastle,508.0,64.0,12.6,No
Queen Mary University of London,MBBS Medicine (A100),"A levels at grades A*AA, achieved in one sitting over a study period of no longer than two years. A-levels must include: First A Level – Chemistry or Biology Second A Level – A further science subject from (Chemistry, Biology, Physics, or Maths) Third A Level – Any A level subject. Further Maths is not accepted if Maths is taken as your second A level. The A* can be in any of the three subjects and does not need to be in one of the required sciences If A level Maths and Further Maths are offered in the same sitting, Further Maths will not be counted towards the minimum A*AA requirement.","37 points overall and three Higher Level subjects at 666 including Chemistry or Biology plus one further science subject from (Chemistry, Biology, Physics or Maths).","Six GCSEs at grades 777666/AAABBB including Biology, Chemistry, English Language or English Literature and Mathematics. The Science Double Award may substitute all sciences at GCSE. GCSEs are not required for graduates.","UCAT required. Applicants will be selected for interview on the basis of a weighted score compared to other applicants who apply in the same year, and may be comprised of UCAT score, UCAS tariff of qualifications predicted or achieved, or weighted scoring of degree for graduates. Selection after interview may consider all assessment factors: interview score, situational judgement test, UCAS tariff of entry qualifications predicted or achieved, or weighted scoring from degree and UCAT score. Your application will not be considered further than the first shortlisting if you obtained a total UCAT score below the fourth decile. Please note there is no guarantee that you will be offered an interview if you score above the fourth decile. Your application will not be considered further than the first shortlisting if you scored SJT Band 4. It is not possible to predict what the thresholds will be in any individual year, nor to use data from previous years to predict subsequent years' thresholds.",Online panel interviews.,"This course uses a combination of Problem-Based Learning (PBL) and Team-Based Learning (TBL). What is Problem-Based Learning? The main emphasis of problem based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor. What is Team-Based Learning? Team-Based Learning (TBL) is an active learning method that engages students in a structured approach. Students collaborate with their team to solve problems and receive immediate feedback.","Clinical work experience is not mandatory. We require applicants to have an understanding of what a career in medicine involves. The interview will explore your understanding of the realities of a career in medicine, it is therefore essential that applicants gain people-focused experience of providing care or service before submitting their application. It is important to remember that work experience can take many forms. It can be a voluntary opportunity or a paid job. While shadowing a doctor can be useful, we understand that this is not attainable for everyone. Volunteering in a residential care home, or with a local charity is just as good a source of experience.",Yes,https://www.medschools.ac.uk/courses/queen-mary-university-of-london-mbbs-medicine-a100/,London,620.0,96.0,15.48,Yes
Queen's University of Belfast,,,,,,,,,,,,360.0,86.0,23.89,No
St George's University of London,MBBS Medicine (A100),"Minimum of 3As including Chemistry and Biology or Human Biology. Subjects not considered are: General Studies, Critical Thinking & Citizenship studies.","18 points at Higher Level, including a minimum grade 6 in Biology and Chemistry. Maths Standard Level minimum grade 5. For Maths, we accept both Mathematics: analysis & approaches and Mathematics: applications & interpretations. English Language:  A SL (English Language & Literature; or English Literature), minimum grade 5, English Language B SL, minimum grade 6.","Five subjects graded 6 (B) or above. The Five subjects must include English Language, Maths and Science (Double or Triple Award).","UCAT. Currently the test is used is used in part to select applicants for interview; that SJT in the test is also included in part, for making offers after the interview.",Multiple-mini interviews. Asynchronous (video upload) interviews may be used.,"This course uses multiple teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with  €˜pre-clinical' work, involving study of the basic medical sciences. This is followed by the  €˜clinical' course during which you will work in hospital wards under the supervision of consultants. What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.","Clinical experience is not required. The requirements are relaxed, but we still require our applicants to have an understanding of the realities of working as a healthcare professional and to show they have the necessary skills and attributes for their chosen career. They can use online resources for valuable insight into working in the healthcare sector and outline the wide range of careers and courses available.",Yes,https://www.medschools.ac.uk/courses/gyugugiujgj/,London,413.0,19.0,4.6,Yes
St Mary’s University Twickenham,MBBS Medicine (A100),"AAA including Chemistry or Biology and another science (to include one of Biology, Chemistry, Physics, or Maths). €¯ Although candidates may study a science as a third subject, we actively welcome applicants who study subjects outside of the sciences listed above, as we recognise the value of other disciplines in the understanding and practice of medicine. Human Biology, Sports Science, Further Mathematics and Statistics are only accepted as a 4th €¯A level noting that 4th €¯A levels do not form part of our scoring system. We welcome general studies and critical thinking as a fourth A2, but they do not typically form part of our offer. EPQs are not considered within our scoring.","Overall score of 36 points with a mark of 6 in 3 Higher Level subjects one of which must be Chemistry or Biology. If English and Maths not offered at GCSE, this must be offered with a mark of at least 5 at Standard level.","A minimum of 6 GCSEs grade 6 or above required in Maths, English Language, Biology and Chemistry or Dual Science. Please note that applicants applying with these minimums are unlikely to be shortlisted to interview and that scoring is based on 8 GCSEs.",UCAT This test must be taken in the year of application and alternative admissions tests are not accepted. The result from the first attempt only will be accepted. The School of Medicine scores all applications received based on the academic scoring and admissions tests to obtain a ranking which is used for shortlisting to interview.,Multiple Mini Interview (MMI).,"Our MBBS degree incorporates a wide range of teaching methods. Throughout the five years, you will experience clinical placements in a variety of community and hospital settings. On campus you will learn through lectures, workshops, tutorials, simulation & self-directed learning.",Work experience is not required but can be mentioned in a personal statement or at interview.,Not Approved,https://www.medschools.ac.uk/courses/st-marys-university-twickenham-mbbs-medicine-a100/,London,,,,
University College London,MBBS Medicine (A100),A*AA at A Level. Both Biology and Chemistry are required with either at grade A*.,"39 total points. A total of 19 points is required in three higher level subjects including 6 and 7 in Biology and Chemistry, in either order. No higher-level score below 5.",English Language and Maths are required at grade B or 6.,"UCAT. Total UCAT score is used to shortlist candidates for interview. Where candidates achieved the same UCAT score, the SJT score is used to further rank each candidate.",In person (for Home students) and online (for international students) multiple mini interviews.,"Integrated systems-based course. This six-year programme includes an integrated BSc (except for graduate entrants with UK degrees), leading to the awards of Bachelor of Science (BSc) and Bachelor of Medicine and Bachelor of Surgery (MBBS). More about intercalation .","Clinical experience is not required. We recommend that applicants have an understanding of what a career in medicine involves. We advise students to gain any experience that involves working with other people, building relevant skills, and reflecting on the attributes needed and if possible, gaining insight into healthcare professions, to help with their application. Your reflections on what you learnt from your work experience may be assessed at interview and we may request that a small selection of candidates provide evidence of the work experience that they have done.",Yes,https://www.medschools.ac.uk/courses/mbbs-medicine-a100/,London,1254.0,35.0,2.79,Yes
University of Aberdeen,MBChB Medicine (A100),"Standard Entry: AAA including Chemistry and one from Biology, Maths or Physics and one other subject.","Higher Level – at least 6, 6, 6 including Chemistry and one of either Biology, Physics or Maths. Standard Level – Three appropriate subjects at standard level with average grade 6. 36 points overall. TOK excluded.","Grade 6 passes in English Language and Maths are required. Biology and Physics are recommended (or Dual Award Science). A combination of Grade 6-9 passes at GCSE is expected, especially in science subjects.",UCAT,Interviews are conducted between December and March using a modified Multiple Mini Interview (MMI) format.,"This course uses both traditional course and case-based learning teaching methods. What is a traditional pre-clinical and clinical course? Students begin their training with two years of  €˜pre-clinical' work, involving study of the basic medical sciences. This is followed by the  €˜clinical' course, lasting two years, during which you will work in hospital wards under the supervision of consultants. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Clinical work experience is valuable but not required. Candidates may draw from their work experience to answer questions at the MMI.,Yes,https://www.medschools.ac.uk/courses/university-of-aberdeen-a100/,Aberdeen,328.0,27.0,8.23,No
University of Birmingham,MBChB Medicine (A100),"The standard offer is A*AA, including Biology/Human Biology and Chemistry. Those classified as contextual based on the school attended, receipt of free school meals or who are care-experienced will automatically receive a reduced offer of AAA.","7,6,6 at Higher Level (including Biology and Chemistry) plus total points score of 32.","A total of seven GCSEs must be offered, and these will be used to calculate an applicant score (see website for details). The required subjects are: English Language at grade 6/B or higher (English Literature is not required but is one of the identified subjects that we will score); Mathematics (or one of Methods in Mathematics and Applications of Mathematics) at grade 6/B or higher; and Biology and Chemistry or dual award science at grade 6/B or higher.","All applicants must sit the UCAT test in their year of application. For Home applicants, the total UCAT score forms part of the overall admissions score used for ranking and shortlisting. For International applicants, the total score is used for ranking and shortlisting.",Multiple-mini interviews,"What is Enquiry-based learning? Enquiry-based learning (EBL) starts by posing questions, problems or scenarios. Students will identify and research issues and questions to develop their knowledge. This style is generally used in small-scale investigations and projects, as well as research.","Clinical experience is not required. Relevant work experience (including voluntary roles and shadowing opportunities) can offer great insight of the complexities, demands and strategies of current healthcare practice and the benefits they obtain from caring for people and working in teams. However, we recognise that arranging, undertaking and effective reflection on face-to-face experiences requires a great deal of time and effort, and may not have been possible during the recent pandemic disruptions, so it is not mandatory.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100/,Birmingham,604.0,56.0,9.27,Yes
University of Bristol,MBChB Medicine (A100),"AAA including Chemistry and either Biology, Physics, Mathematics or Further Mathematics. Graduates are required to obtain a 2.1 in their degree plus BBB at A-level, including Chemistry and either Biology, Physics, Mathematics or Further Mathematics.","36 points overall with 18 at Higher Level, including 6, 6 at Higher Level in Chemistry and one of Biology, Physics or Mathematics (either Analysis and Approaches or Applications and Interpretations).",Advanced numeracy requirement (7 or A in GCSE Mathematics or equivalent) and Standard literacy requirement (4 or C in GCSE English or equivalent). Further information about GCSE requirements and profile levels .,UCAT,"Applicants move around seven Multiple Mini Interview (MMI) stations, each taking six minutes (one minute for reading instructions and five minutes for completing task) and assessing a particular criterion. Each station is supervised by one or two interviewers as appropriate.","What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.","While not a requirement for the course, we encourage applicants to obtain  work experience. This enables the applicant to gain some insight into their potential vocation. Applicants may be asked to reflect on their work experience at interview. Clinical work experience is not required but we encourage applicants to seek out opportunities to work with the public in a customer service role, or volunteer in a care or health environment (nursing home, local hospice, shelter for the homeless, or facility supporting people with disabilities or special needs), or a youth group. Should they be invited, applicants are required to complete a form prior to attending the interview which documents the type and duration of their work experience. This information may be used as a basis for discussion.",Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-2/,Bristol,505.0,35.0,6.93,Yes
University of Buckingham,MBChB Medicine (71A8),ABB including Chemistry or Biology at A level.,34 points to include 3 Higher Level subjects. You must achieve at least Higher Level 6 in Chemistry or Biology but have taken both and achieved at least a HL5 in the other. Please note that the overall point score does not include theory of knowledge or extended essay.,At least Grade 4 in English and Maths at GCSE (or equivalent).,"None. The Multiple Mini Assessment (MMA) is a computer-based test, made up of a series of tasks intended to test applicants' analysis, interpretation and judgement abilities related to  €˜Good Medical Practice €˜, published by the General Medical Council. Exceptionally high performing applicants may receive an offer at this stage in the process. Some candidates will be asked to progress to a third and final stage of the MMI application process.","The Multiple Mini Interviews (MMI) are intended to judge personal attributes relating to suitability for practice as a doctor. It consists of a series of tasks intended to test abilities related to  €˜Good Medical Practice €˜, published by the General Medical Council.",Phase 1 consists of a series of integrated and interdisciplinary units mostly based around the systems of the body and presented in a clinical context. Phase 2 is about building on the foundations of Phase 1 through intensive work with patients and doctors in the clinical environment.,Work experience carries no weight in decision making.,Not Approved,https://www.medschools.ac.uk/courses/mbchb-medicine-71a8/,Buckingham,,,,
University of Cambridge,MB BChir Medicine (A100),"Minimum offer level: A level: A*A*A To apply to any of our Colleges for Medicine you will need A Levels/IB Higher Levels (or the equivalent) in: Chemistry At least one other science or mathematics subjects from: o Mathematics o Biology or Human Biology o Physics o Further Mathematics Some Colleges require extra subjects and/or set extra conditions. For example, they may make a higher offer or specifying an A* in a particular subject(s) – generally Chemistry). For more information check the College websites. We would typically expect candidates to achieve the minimum offer level of A*A*A in a single sitting. However, where candidates have been adversely affected by circumstances outside of their control, we will consider on a case-by-case basis.","Minimum offer level: 41-42 points overall with at least 776 at Higher Level. To apply to any of our Colleges for Medicine you will need Higher Levels in: Chemistry At least one other science or mathematics subjects from: o Mathematics o Biology or Human Biology o Physics o Further Mathematics Some Colleges require extra subjects and/or set extra conditions. For example, they may make a higher offer or specifying an A* in a particular subject(s) – generally Chemistry). For more information check the College websites. We would typically expect candidates to achieve the minimum offer level in a single sitting. However, where candidates have been adversely affected by circumstances outside of their control, we will consider on a case-by-case basis.",No specific requirements.,"For UCAT results, we will look at an applicant's overall cognitive subtest score. We will not be using the situational judgement score as part of our assessment for 2026 entry. We will use results as part of our selection for interview and when making offers. We will consider your results alongside all the other information we know about you.",In person and online traditional panel interviews.,"What is a traditional pre-clinical and clinical course? Students begin their training with three years of  €˜pre-clinical' work, involving study of the basic medical sciences. In Year 3 you will be able to specialise in one of a wide range of other subjects. You might see this referred to as intercalation , to qualify for the BA degree. This is followed by the  €˜clinical' course, lasting three years, during which you will work in hospital wards under the supervision of consultants.","Clinical work experience is not mandatory. We would want to see that candidates have a good understanding of the role of the medic, and a realistic and informed view of what the profession entails. Work experience is a great way to gain this. Work experience is strongly advised but is not a requirement for a Cambridge Medicine application.",Yes,https://www.medschools.ac.uk/courses/university-of-cambridge-mb-bchir-medicine-a100/,Cambridge,653.0,30.0,4.59,Yes
University of Central Lancashire,,,,,,,,,,,,542.0,46.0,8.49,No
University of Dundee,MBChB Medicine (A100),"Standard:  AAA Essential subjects: A-level – Either Chemistry or Biology and another science (Mathematics is an acceptable science). A-levels to be in the same sitting i.e. to be achieved in the same year, two years after GCSE. The third subject can be your own choice; we have no preference. If not studied at A-level (A2), we also require Biology or Chemistry at grade 7/A at GCSE. If not studied at A-level (A2), we also require Mathematics and English at grade 6/B at GCSE.","37 points, including 6, 6, 6 at Higher Level.","If not studied at A-level, we also require Biology or Chemistry at grade 7/A at GCSE. If not studied at A-level, we also require Mathematics and English at grade 6/B at GCSE.",All applicants must sit the UCAT test in their year of application. There is no cut off score.,Multiple mini interviews.,"What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Clinical experience is not required. There are many opportunities to learn valuable skills that do not require individuals to be in healthcare settings.,Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-13/,Dundee,255.0,44.0,17.25,Yes
University of East Anglia,MBBS Medicine (A100),"AAA including Biology or Chemistry. General Studies, Critical Thinking not accepted.",34 overall with Higher Level 666 including Biology or Chemistry.,"Applicants must hold or be working towards GCSEs in a minimum of six subjects at grade 7 or A including Mathematics and either two science subjects or Double Science. Triple Science, Science, Additional Science and Further Science GCSEs are accepted. GCSE grade 5/B is required in English Language.",UCAT,Multiple Mini Interviews.,"What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor.",Clinal experience is not required. If you are invited to interview you are will need to €¯provide two examples of relevant work experience which have informed your decision to study Medicine.,Not Approved,https://www.medschools.ac.uk/courses/mbbs-medicine-a100-3/,Norwich,242.0,24.0,9.92,No
University of Edinburgh,MBChB Medicine (A100),"Academic grades are worth 25% of the total overall score applied to each application. See page 18 of our online booklet for further details. A*AA to include Chemistry plus one subject from Biology/Human Biology, Mathematics and Physics. Only one of Mathematics or Further Mathematics and one of Biology or Human Biology will be considered. Best three A levels are scored including the two required subjects. A* can be in any of the three subjects.","Overall score of 40 points (including TOK and EE) including 766 at HL to include Chemistry and at least one other science subject (7 at HL can be in any of the 3 subjects), and 666 at SL. Biology should be taken to at least SL. English/English Language (A or B) and Mathematics (either Analysis & Approaches or Applications & Interpretation) must be taken to at least SL grade 6 if taking these within the IB. If English/English Language and/or Mathematics do not form part of your IB Diploma, you must also provide evidence of having completed these subjects to GCSE grade A or equivalent.","You must also have the following at GCSE: Biology at A or 7 Chemistry at A or 7 English at A or 7 Mathematics at A or 7 Double Award combined sciences, or equivalent, at AA/77 may replace GCSE grades in sciences. Additional Applied Science and Applied Science are not accepted.",UCAT. Please see page 15 of the Applying to Medicine booklet.,Multiple-mini interviews.,"You will be taught through a combination of: lectures tutorials laboratory and project work clinical placements computer-assisted learning The research components of this programme offer flexibility and choice throughout the curriculum. In Years 4 to 6 of the MBChB, you will: have a group of dedicated Clinical Tutor Associates (current doctors in training) to support your learning be able to sign up to a range of workshops delivered by Clinical Tutor Associates with experience and knowledge in their areas.","Clinical work experience is not required. Evidence of career exploration prior to application understanding the realities of a career in Medicine work experience and shadowing with health professionals or in health promotion, examples of which may include the following: working in a nursing home and/or volunteering with disabled people talking with doctors and medical students attending a university open day and medical conferences/lectures reading/ watching/ listening to medical themed literature/ digital content/ articles.",Yes,https://www.medschools.ac.uk/courses/university-of-edinburgh-mbchb-medicine-a100/,Edinburgh,856.0,47.0,5.49,Yes
University of Exeter,BMBS Medicine (A100),A*AA to include grade A in Biology and Chemistry.,IB: 38/766 to include HL6 in Biology and Chemistry.,Grade B or 6 in English language.,"UCAT test for direct school leavers, GAMSAT for non-direct school leavers. Admissions tests are used as part of the selection criteria for interview. If it is the case that following interviews there are a high number of applicants within the eligible pool for offers, the UCAT/GAMSAT Score may be used again to decide which candidates will receive an offer.",Online multiple-mini interviews.,"What is a traditional pre-clinical and clinical course? Students begin their training with three years of  €˜pre-clinical' work, involving study of the basic medical sciences. This is followed by the  €˜clinical' course, during which you will work in hospital wards under the supervision of consultants.",Work experience is not required as part of the selection criteria.,Not Approved,https://www.medschools.ac.uk/courses/university-of-exeter-bmbs-medicine-a100/,Exeter,251.0,8.0,3.19,No
University of Glasgow,MBChB Medicine (A100),"A-level: AAA Additional requirements: A-levels Chemistry and one of either Biology, Physics or Mathematics.","38 points (6,6,6 HL) Additional requirements: HL subjects Chemistry and Biology, SL Physics or Mathematics at 6 (HL recommended) SL English at 6.",GCSE English literature or English language at Grade B or 6. GCSE Biology at Grade B or 6 (if not studied at A-level).,UCAT,Online traditional panel interview.,"This courses uses a combination of problem-based and case-based learning. What is Problem-Based Learning? The main emphasis of problem-based learning (PBL) is on small group working, centred around a  €˜problem' or scenario. These scenarios are hypothetical patient cases. This integrated approach, centred on PBL, and grounded in a robust scientific understanding, strong clinical knowledge and highly developed communication and clinical reasoning skills, allows you to develop life-long skills that will be crucial to your success as a doctor. What is Case-Based Learning? Case-Based Learning (CBL) is a tutorial-based, group learning approach where students work through real-world clinical scenarios across subjects such as cardiology, respiratory, and gastroenterology. During each session, you'll identify key learning outcomes and use them to guide your study, following a patient case from initial presentation through to diagnosis and management. The goal of CBL is to help students apply theoretical knowledge to practical situations. This better prepares you for reviewing real cases during clinical placements.",Not required.,Yes,https://www.medschools.ac.uk/courses/mbchb-medicine-a100-3/,Glasgow Scotland,631.0,65.0,10.3,Yes
